zemlja,ulazak,opis,azurirano
ESTONIJA,❌,"
Državljani Srbije ne mogu da uđu u Estoniju.
Dozvoljava se ulazak u Estoniju licima sa regulisanim boravkom ili dugoročnom vizom, kao i članovima njihovih porodica, koja dolaze iz zemalja članica EU, Šengen zone, UK, Andore, Monaka, San Marina i Vatikana, kao i državljanima trećih država sa liste EU (lista dostupna na: <a href=""https://vm.ee/en/information-countries-and-self-isolation-requirements-passengers"">https://vm.ee/en/information-countries-and-self-isolation-requirements-passengers</a>), pod uslovom da ne ispoljavaju simptome infekcije virusom COVID-19. Samoizolacija u trajanju od 10 dana obavezna je za sva lica koja ispoljavaju simptome infekcije, kao i za sva lica koja dolaze iz država u kojima je u prethodnih 14 dana registrovano više od 50 novih slučajeva infekcije na 100.000 stanovnika (u određenim slučajevima i između 25 i 50; detaljnije informacije dostupne na: <a href=""https://vm.ee/en/information-countries-and-self-isolation-requirements-passengers"">https://vm.ee/en/information-countries-and-self-isolation-requirements-passengers</a>). Državljani stranih zemalja koje nisu gore navedene mogu ući u Estoniju radi zaposlenja ili studija, uz obavezan karantin od 10 dana i dva testa – odmah po dolasku i nakon 10 dana karantina. Testiranje je omogućeno na aerodromu/u lukama svim licima koja dolaze u Estoniju (za estonske državljane besplatno, za strance po ceni od 67 evra).

",05.01.2021.
ETIOPIJA,✅,"
Državljani Srbije mogu ulaziti u Etiopiju. Potreban je negativan test ne stariji od 120 sati. Obavezna je izolacija od 7 dana.
Putnicima u tranzitu nije potreban test. Ukoliko je tranzit duži od 24 sata, obavezna je izolacija u za to određenom hotelu.

",05.01.2021.
ERITREJA,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
ZAMBIJA,✅,"
Državljani Srbije mogu da uđu u Zambiju. Obavezan je karantin u trajanju od 14 dana u prostorima koje je odredila država. Trošak u karantinu ide na teret stranog državljanina.

",05.01.2021.
ZIMBABVE,❌,"
Državljani Srbije ne mogu da uđu u Zimbabve osim lica sa regulisanim boravkom. Obavezan je karantin od 21 dana. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog leta, odnosno napuštanja zemlje (i regiona) kao i prevoza karga, uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
IZRAEL,❌,"
Državljani Srbije ne mogu da uđu u Izrael osim lica koja imaju regulisan boravak uz prethodnu najavu preko Ambasade Izraela u Beogradu. Takođe, u izuzetnim slučajevima (npr. urgentno lečenje), može se od Ministarstva spoljnih poslova Izraela zatražiti dozvola za ulazak u zemlju.
Sve osobe koje ulaze u Izrael i izlaze iz Izraela (uključujući i izraelske državljane) moraju da popune onlajn obrazac 24 sata pred let. Obrazac se može naći na internet prezentaciji Vlade Izraela. Od 8. novembra svi putnici koji dolaze u Izrael iz Srbije, bez obzira na državljanstvo, moraju provesti 14 dana u kućnoj izolaciji.
Zbog specifičnih uslova, Izrael nije zemlja tranzita za strane državljane

",05.01.2021.
INDIJA,❌,"
Državljani Srbije u principu ne mogu da uđu u zemlju s obzirom da je Indija obustavila izdavanje viza svim stranim državljanima. Nove vize se mogu dobiti (u nadležnim diplolatsko-konzularnim predstavništvima Indije) isključivo u sledećim posebnim slučajevima: poslovni ljudi (odnosi se samo na biznis vize), stručnjaci iz oblasti zdravstva koji dolaze u Indiju da bi obavljali tehničke poslove u indijskom zdravstvenom sektoru (na poziv relevantnih indijskih institucija), stručnjaci iz ostalih oblasti koji rade za strane kompanije koje posluju u Indiji, inženjeri i tehničko osoblje koji dolaze radi instaliranja ili servisiranja mašina i opreme stranog porekla (na poziv indijskih kompanija). Ukoliko lice ima poslovnu vizu koja još važi (izdata pre pandemije), neophodno je da se izvrši njena revalidacija u nadležnom diplomatko-konzučlarnom predstavništvu Indije (ovo se ne odnosi na elektronske vize, sa kojima neće biti dozvoljen ulazak u Indiju).

",05.01.2021.
INDONEZIJA,❌,"
Državljani Srbije ne mogu da uđu niti tranzitiraju u Indoneziju osim lica koji imaju stalnu (KITAP) ili privremenu boravišnu dozvolu (KITAS). Negativan test na koronu je neophodan. Ukoliko se pri ulasku ne poseduje test, organizuje se testiranje i rezultat se čeka u za to određenim hotelima od strane indonežanskih vlasti. Pre putovanja, potrebno je kontaktirati najbližu ambasadu Indonezije.

",05.01.2021.
IRSKA,✅,"
Državljani Srbije mogu da uđu i tranzitiraju kroz Irsku, pod uslovom da imaju validnu vizu. Državljani Srbije, kao i svi ostali putnici, pri ulasku u Irsku imaju obavezu da popune formular Passenger Locator Form. Obavezna je samoizolacija u trajanju od dve nedelje, odnosno nedelju dana ukoliko se osoba o svom trošku podvrgne testiranju a rezultat se pokaže negativnim. Sve informacije u vezi sa putovanjima u Irsku mogu se naći na internet stranici <a href=""https://www.gov.ie/en/publication/4f19b-general-covid-19-travel-advisory-in-operation/"">https://www.gov.ie/en/publication/4f19b-general-covid-19-travel-advisory-in-operation/</a>

",05.01.2021.
IRAK,❌,"
Stranim državljanima je zabranjen ulazak u Irak. Izuzetak su diplomate koji moraju da poseduju posebnu dozvolu MSP.

",05.01.2021.
IRAN,✅🧪,"
Državljani Srbije mogu da uđu u zemlju ukoliko poseduju negativan PCR test, ne stariji od 96 sati, na engleskom jeziku. Ukoliko negativan test, usled dužine putovanja, bude stariji od 96 sati, na granici će se podvrgunti zdravstvenom pregledu, i u slučaju da imaju simptome bolesti, ponovo će se testirati o svom trošku i do rezultata testa će boraviti u karantinu. Ako rezultat ponovljenog testa bude pozitivan, boraviće u karantinu 14 dana o svom trošku. Navedeno važi i za strane državljane.

",05.01.2021.
ISLAND,✅,"
Državljani Srbije mogu ući na Island.
Putnici koji dolaze na Island mogu izabrati da li će da urade dva testa, prvi po dolasku i naredni za pet dana tokom kojih će biti u karantinu ili će bez testiranja biti u karantinu 14 dana po dolasku. Od ovog pravila su izuzeta deca od 2005. godišta i mlađa, lica koja su prethodno imala pozitivan PCR test i završili su sa periodom izolacije ili prisustvo antitela pokazuje da su preležali korona virus.
Svi putnici su dužni da pre dolaska u zemlju popune obrasce u kojima će navesti kontakt podatke, lokaciju na kojoj su bili, mesto na kom će na Islandu biti u karantinu, kao i podatke o zdravstvenom stanju. Testiranje iznosi 9,000 islandskih kruna (IK), ako se plaća unapred ili 11,000 IK ako se plaća na licu mesta. Drugi test je besplatan.
Putnici u tranzitu koji ne napuštaju terminale ne podležu obavezi testiranja/karantina.

",05.01.2021.
ISTOČNI TIMOR,❌,"
Državljani Srbije ne mogu da uđu niti tranzitiraju kroz Istočni Timor osim lica koja su tamo rođena i imaju boravak.

",05.01.2021.
ITALIJA,❌,"
Državljani Srbije ne mogu da uđu u Italiju u turističke svrhe.
Od 22. septembra odobrava se ulazak u Italiju samo u određenim slučajevima: poslovni i zdravstveni razlozi, školovanje, hitan povratak u svoje mesto stanovanja/boravišta. Takođe, odobrava se ulazak osobama koje su u potvrđenoj i stalnoj emotivnoj vezi (iako ne žive zajedno) sa državljanima Italije/EU/Šengen zone ili sa licima koja imaju zakonito prebivalište (boravište na duži period) u Italiji. Prilikom ulaska neophodno je da se da na uvid lična izjava (autodichiarazione), koja se može naći na sajtu Ministarstva spoljnih poslova Italije. Za lica koja ulaze u Italiju na napred navedeni način i dalje je na snazi mera obavezne kućne samoizolacije u trajanju od 14 dana, koja se ne primenjuje u slučaju boravka do 120 sati i u slučaju tranzita, u trajanju do 36 sati.
",05.01.2021.
JAMAJKA,✅,"
Državljani Srbije mogu da uđu na Jamajku. Pre putovanja, neophodno je prijaviti se na sledećem sajtu: <a href=""https://www.visitjamaica.com"">https://www.visitjamaica.com</a>

",05.01.2021.
JAPAN,❌,"
Državljanima Srbije koji su prethodnih 14 dana boravili u Srbiji ili tranzitirali kroz Srbiju nije dozvoljen ulazak. Od navedenog su izuzeta lica koja imaju regulisan boravak u Japanu, pod uslovom da poseduju dozvolu za ponovni ulazak (re-entry permit) i da prezentuju potvrdu na formatu koji predviđaju japanski organi da su 72 pre leta bili negativno testirani na korona virus (format potvrde dostupan je na prezentaciji MIP Japana https://www.mofa.go.jp/ca/fna/page25e_000334.html). Svaki putnik pri dolasku u Japan dobija upitnik o zdravstvenom stanju koji je obavezan da popuni pre ulaska u Japan. Upitnik je takođe dostupan u elektronskoj verziji na https://arqs-qa.followup.mhlw.go.jp/#/
Strani državljani koji imaju boravak u Japanu, izuzev onih koji dolaze iz V. Britanije ili Južne Afrike, upućuju se u samoizolaciju na 14 dana bez mogućnosti korišćenja javnog prevoza. Sva lica koja ulaze u Japan iz država čije su vlasti potvrdile postojanje zaraze novim sojem korona virusa (izuzev iz V. Britanije ili Južne Afrike), ili su boravila u ovim državama 14 dana pre ulaska u Japan, pored potvrde o negativnom testu pri ulasku u Japan, biće ponovo testirana na COVID-19 test na aerodromu.
Lica koja imaju boravak u Japanu, a dolaze iz V. Britanije i Južne Afrike, obavezna su da prezentuju potvrdu da su 72 pre leta bili negativno testirani na korona virus. Nakon ulaska u Japan se upućuju u izolaciju na tri dana na lokaciji koju rezerviše aerodromska karantinska uprava. Nakon toga sledi ponovno testiranje i u slučaju negativnog rezultata ostatak od 11 dana se provodi u kućnom karantinu (detaljnije na <a href=""https://www.mhlw.go.jp/content/10900000/000647649.pdf)."">https://www.mhlw.go.jp/content/10900000/000647649.pdf).</a>
",05.01.2021.
JEMEN,❌,"
Državljani Srbije ne mogu da uđu u zemlju.

",05.01.2021.
JERMENIJA,✅🧪,"
Državljani Srbije mogu da uđu u Jermeniju vazdušnim putem. Sva lica se podvrgavaju zdravstvenoj kontroli na aerodromu i upućuju u samoizolaciju u trajanju od 14 dana. Lice se oslobađa obaveze samoizolacije, ukoliko poseduje negativan PCR test, ne straiji od 72 sata. Takođe, lice može da se testira o svom trošku na aerodromu/graničnom prelazu Jermenije, i ukoliko rezultat bude negativan, oslobađa se obaveze samoizolacije.
Zabrana ulaska stranih državljana, uključujući državljane Srbije, drumskim putem je i dalje na snazi. Izuzetak su lica koja imaju stalni boravak u Jermeniji, bliski članovi porodice državljana Jermenije (supružnici, deca, roditelji, brat i sestra) i diplomatsko-konzularni predstavnici na službi u Jermeniji i članovi njihovih porodica.

",05.01.2021.
JORDAN,✅🧪,"
Državljani Srbije mogu ući u Jordan. Neophodni su negativan PCR test, ne stariji od pet dana, polisa međunarodnog zdravstvenog osiguranja koje pokriva COVID-19 lečenje, registracija preko internet stranice 
<a href=""http://www.visitjordan.gov.jo"">www.visitjordan.gov.jo</a>, kao i aktiviranje mobilne aplikacije „Aman"" na telefonu. Dodatni detalji u vezi sa ulaskom u Jordan, u zavisnosti od zemlje iz koje se dolazi, se mogu naći na navedenom sajtu Vlade Jordana.

",05.01.2021.
JUŽNOAFRIČKA REPUBLIKA,✅,"
Državljani Srbije mogu da uđu u Južnofričku Republiku ili tranziotiraju. Neophodna je važeća viza ili dozvola boravka. Negativan PCR test, ne stariji od 72 sata, je neophodan ukoliko lice dolazi iz zemlje visokog rizika (spisak dostupan: <a href=""http://www.dha.gov.za/index.php/list-of-high-risk-covid-19-countries"">http://www.dha.gov.za/index.php/list-of-high-risk-covid-19-countries</a>). Po dolasku u JAR, svi putnici se podvrgavaju zdravstvenom pregledu. U slučaju da lice, i pored negativnog testa, ima povišenu telesnu temperaturu, biće upućeno u 10-dnevni karantin o sopstvenom trošku. Svi putnici moraju da imaju regulisano zdravstveno osiguranje.

",05.01.2021.
JUŽNI SUDAN,✅,"
Državljani Srbije mogu da ulaze u Južni Sudan ako poseduju negativan test.
Pod istim uslovima ulaze i drugi strani državljani.

",05.01.2021.
KABO VERDE,✅🧪,"
Stranim državljanima, uključujući državljane Srbije, dozvoljen je ulazak u zemlju. Neophodan je negativan PCR test, antigenski test ili bilo koji drugi odobren molekularno biološki test na SARS-COV-2, ne stariji od 72 sata, osim za decu mlađu od sedam godina.

",05.01.2021.
KAZAHSTAN,❌,"
Državljani Srbije ne mogu da uđu u Kazahstan, osim uz specijalnu dozvolu koju izdaje Ambasada Kazahstana u Beogradu.
U Kazhastan mogu da uđu lica koja dolaze radi lečenja, osoblje diplomatsko-konzularnih predstavništava, članovi zvaničnih delegacija i međunarodnih organizacija koji dolaze na poziv Ministarstva spoljnih poslova Kazahstana. Lica koja ulaze u Kazahstan neophodno je da poseduju negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
KAMBODžA,❌,"
Državljani Srbije, kao ni drugi strani državljani, ne mogu da uđu u Kambodzu. Ulazak je moguć jedino uz prethodno pribavljanje vize za koju se zahtev podnosi u najbližoj Ambasadi Kamobdze. Pored vize, potreban je negativan test, ne stariji od 72 sata, kao i dokaz o zdravstvenom osiguranju u visini od 50 hiljada USD.

",05.01.2021.
KAMERUN,✅🧪,"
Državljani Srbije mogu da uđu u Kamerun. Neophodan je negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
KANADA,❌,"
Državljani Srbije ne mogu da uđu u Kanadu osim lica koji imaju regulisan boravak, kao i članovi njihove uže porodice. Od 07. januara 2021. godine za sve putnike u vazdušnom saobraćaju, starije od 5 godina, obavezan je negativan PCR test, ne stariji od 72 sata. Na snazi ostaje i mera samoizolacije nakon ulaska u Kanadu, u trajanju od 14 dana, i odnosi se na sve, bez izuzetka.
Na snazi je zabrana ulaska u Kanadu svim stranim državljanima, osim licima sa stalnim boravkom, radnicima na vitalnim poslovima, stranim studentima kojima je izdata studentska viza pre 18. marta 2020. godine, a izuzeci su mogući u hitnim slučajevima (maloletno lice bez pratnje, smrtni slučaj i slično).
Svi putnici u vazdušnom saobraćaju, čije je krajnje odredište Kanada, su u obavezi da pre ukrcavanja na let pruže odgovarajuće informacije o putovanju, kontakt podatke, kao i plan samoizolacije u trajanju od 14 dana nakon ulaska u zemlju. Preko ""ArriveCAN"" aplikacije, koja je dostupna kao mobilna aplikacija ili online, uveden je siguran i jednostavan način da se pomogne putnicima u pridržavanju bezbednosnih mera. Putnici koji u Kanadu ulaze kopnenim ili prekomorskim putem moraju dostaviti određene informacije putem navedene aplikacije. U roku od 48 sati po dolasku u Kanadu, svi putnici imaju obavezu da potvrde da su stigli u mesto karantina ili izolacije, a tokom perioda od 14 dana moraju vršiti svakodnevnu samoprocenu simptoma COVID 19.
Tranzit je dozvoljen uz poštovanje viznog režima bez izlaska iz tranzitnog prostora.
",05.01.2021.
KATAR,✅,"
Državljani Srbije mogu da uđu u Katar uz prethodno dobijenu dozvolu preko „Qatar Portal"". Po dolasku, obavezno je testiranje na aerodomu „Hamad"" nakon čega sledi jednonedeljni karantin u hotelu. Majke sa decom starosti do 5 godina, kao i hronični bolesnici idu u kućni karantin.
Svi putnici moraju imati instaliranu aplikaciju „Ehteraz"".
Tranzit preko aerodroma Hamad je dozvoljen.

",05.01.2021.
KENIJA,✅🧪,"
Državljani Srbije mogu da uđu u Keniju ukoliko poseduju negativan PCR test, ne stariji od 96 sati, i nemaju simptome COVID – 19 (telesna temperatura ne sme biti iznad 37,5 stepeni celzijusa, stalan kašalj, poteškoće u disanju i bilo koji drugi simptom nalik gripu). Neophodno je registrovati se na <a href=""https://ears.health.go.ke/airline_registration/"">https://ears.health.go.ke/airline_registration/
</a>
",05.01.2021.
KINA,✅,"
Državljani Srbije koji poseduju važeću radnu dozvolu, dozvolu boravka po ličnom osnovu ili dozvolu boravka za priključenje porodici mogu da uđu u Kinu ukoliko poseduju sertifikat za putovanje izdat od Ambasade Kine u Beogradu. Od 6.novembra 2020. da bi se dobio sertifikat za putovanje neophodno je Ambasadi dostaviti negativne rezultate dva testa, PCR i serološkog IgM, ne starije od 48 sati.
S obzirom da iz Srbije nema direktan let za Kinu, neophodno je da se i u zemlji tranzita dodatno urade pomenuti testovi (PCR i serološki IgM, ne stariji od 48 sati) i negativni rezultati istih dostave diplomatsko-konzularnom predstavništvu Kine u zemlji tranzita radi izdavanja sertifikata za putovanje. Detalji u vezi sa režimom ulaska u Kinu se mogu naći u sledećem linku: <a href=""http://rs.chineseembassy.org/srp/lsyw/tz/t1828338.htm"">http://rs.chineseembassy.org/srp/lsyw/tz/t1828338.htm</a>
Lica kojima je neka od gore navedenih dozvola istekla do 28.septembra, neophodno je da podnesu zahtev za vizu u Ambasadi Kine u Beogradu.
",05.01.2021.
Hong Kong:,❌," Državljanima Srbije nije dozvoljen ulazak u Hong Kong. Tranzitiranje preko teritorije Hong Konga dozvoljeno je samo za one koji putuju sa teritorije matice Kine, Makao-a ili Tajvana.
",05.01.2021.
Makao:,❌," Državljanima Srbije nije dozvoljen ulazak u Makao. Tranzitiranje preko teritorije Makao takođe nije moguće.
",05.01.2021.
Tajvan:,✅," Državljanima Srbije dozvoljen je ulazak na Tajvan u svim drugim slučajevima osim iz razloga turizma i poseta, pod uslovom da podnesu zahteve za dobijanje ulazne dozvole kod nadležnih institucija u inostranstvu. Na ulasku u Tajvan potrebno je posedovati negativan test, ne stariji od 72 sata i obezbediti obaveznu samoizolaciju u trajanju od 14 dana. Izuzeti od ovih mera su diplomate, biznismeni i privrednici, migrantski radnici, studenti i lica sa posebnim dozvolama.

",05.01.2021.
KIPAR,✅🧪,"
Državljani Srbije mogu da uđu na teritoriju Kipra ukoliko poseduju negativan PCR test, ne stariji od 72 sata. Određene kategorije lica test mogu da urade po dolasku na Kipar (o sopstvenom trošku): kiparski državljani, njihovi supružnici iz drugih zemalja i njihova maloletna deca; lica koja imaju regulisan boravak na Kipru; lica koja imaju specijalnu dozvolu za ulazak od strane Vlade Kipara; lica koja dolaze iz države u kojoj nije moguće da se uradi testiranje na korona virus.
Svi putnici moraju da poseduju kiparsku propusnicu za let (CyprusFlightPass) kako bi im bilo dozvoljeno ukrcavanje. Sva neophodna dokumenta mogu da se nađu i popune elektronski najviše 24 sata pre leta na <a href=""https://www.cyprusflightpass.gov.cy"">https://www.cyprusflightpass.gov.cy</a>
Kazna za neposedovanje Flight Pass-a iznosi 300 evra.

",05.01.2021.
KIRGIZIJA,❌,"
Državljani Srbije ne mogu da uđu u Kirgiziju, osim lica koja imaju odobrenje za stalni boravak ili na osnovu prethodno pribavljenog odobrenja nadležnih organa Kirgizije u slučajevima postojanja bračnih ili rodbinskih veza. Nije potreban negativan test, ali je obavezan 14-to dnevni karantin. Testiranje obavezno samo u slučajevima postojanja simptoma bolesti.

",05.01.2021.
KOLUMBIJA,✅,"
Državljani Srbije mogu da uđu u Kolumbiju. Nije potreban test. Neophodno je popuniti formular na sledećem sajtu: <a href=""https://apps.migracioncolombia.gov.co"">https://apps.migracioncolombia.gov.co</a>
",05.01.2021.
KOMORI,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
KONGO,✅,"
Državljani Srbije sa stalnim boravkom ili važećom vizom mogu da uđu u Kongo ili tranzitiraju. Na međunarodnom aerodromu u Brazavilu uvedena su obavezna testiranja prilikom dolaska i odlaska. Takođe, obavezna je samoizolacija u periodu od 14 dana. Test na COVID–19 se naplaćuje i cena iznosi 30 evra.

",05.01.2021.
"KONGO, DR",✅🧪,"
Državljani Srbije sa važećom vizom mogu da uđu u DR Kongo ili tranzitiraju. Neophodan je negativan PCR test za sva lica starija od 11 godina, ne stariji od sedam dana. Po dolasku na aerodrom u Kinšasi putnici se dodatno povdvrgavaju testiranju o trošku putnika (45 dolara). Takođe, pre dolaska je potrebno registrovati se preko sledećeg sajta: <a href=""http://www.inrbcovid.com/"">http://www.inrbcovid.com/</a>.
Prilikom izlaksa iz DR Kongo, svi putnici stariji od 11 godina su u obavezi da poseduju dokaz iz laboratorije ne stariji od 3 dana, koju je odobrilo Ministrastvo zdravlja, da su negativni na COVID–19. Cena testa prilikom odlaska iznosi 30 dolara.

",05.01.2021.
"KOREJA, Republika",✅,"
Državljanima Srbije je od 13. aprila potrebna viza za ulaz u R. Koreju. Obavezan je karantin od 14 dana. Za državljane Srbije koji tranzitiraju preko aerodroma u R. Koreji nije potrebna viza, niti test.
Prilikom ulaska u R. Koreju za sve strane državljane obavezan je karantin od 14 dana u ustanovama koje je odredila korejska vlada, o trošku putnika. Od 11. maja se vrši obavezno testiranje putnika u karantinu.

",05.01.2021.
"KOREJA, DNR",❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
KOSTARIKA,✅,"
Državljani Srbije mogu da uđu u Kostariku uz obavezu popunjavanja obrasca ""Pase de Salud"" 48 sati pre dolaska (<a href=""https://salud.go.cr/"" target=""_blank"">https://salud.go.cr/</a>). Takođe, potrebno je zdravstveno osiguranje koje pokriva troškove lečenja u slučaju korone virusa (osiguranje mora da bude na španskom jeziku i odobreno od Instituta za turizam).

",05.01.2021.
KOT D'IVOAR,✅🧪,"
Državljani Srbije mogu da uđu u Kot D'Ivoar. Neophodan je negativan PCR test, ne stariji od pet dana. Po sletanju na aerodrom svi putnici se podvrgavaju tesiranju. Test se plaća oko 75 evra. Putnici koji nemaju test upućuju se u izolaciju u trajanju od 14 dana o trošku avio kompanije.

",05.01.2021.
KUBA,✅🧪,"
Državljani Srbije mogu da uđu na Kubu. Od 1. januara 2021. neophodan je negativan PCR test, ne stariji od 72 sata. Po dolasku na Kubu, na svim međunarodnim aerodromima, putnici se dodatno podvrgavaju PCR testu (cena testa 35 evra), nakon čega sledi obavezan karantin na adresi predviđenog boravka, do dobijanja rezultata testa (do 3 dana).
",05.01.2021.
KUVAJT,❌,"
Državljani Srbije ne mogu da uđu u Kuvajt direktno iz Srbije. Počev od 2. januara 2021.godine državljani Srbije mogu da uđu u Kuvajt ukoliko su prethodno boravili 14 dana u nekoj trećoj zemlji koju Kuvajt ne smatra zemljom visokog rizika (npr. Turska, Kipar). Neophodan je negativan PCR test, ne stariji od 72 sata.

",05.01.2021.
LAOS,❌,"
Državljani Srbije ne mogu da uđu u Laos.
Međunarodni granični prelazi su zatvoreni za ulazak stranaca iz zemalja u kojima vlada COVID-19 pandemija, što se, odnosi i na državljane Srbije. Izdavanje svih vrsta viza, osim za diplomate, predstavnike UN, eksperte, investitore i biznismene je suspendovano. Za njihov ulazak u Laos neophodna je potvrda o negativnom testu, ne stariji od 72 sata. Nakon ulaska u Laos, obavezan je boravak u „samoizolaciji"" u hotelu ili određenom „karantin centru"" u trajanju od 14 dana (za diplomate i predstavnike UN, 14 dana u „kućnom karantinu"").

",05.01.2021.
LESOTO,❌,"
Državljani Srbije ne mogu da uđu u Lesoto osim lica sa regulisanim boravkom. Obavezan je karantin od 14 dana. Moguć je tranzit iz susednih država ali isključivo u slučaju organizovanog leta, odnosno napuštanja zemlje (i regiona), uz prezentovanje negativnog testa, ne starijeg od 72 sata.

",05.01.2021.
LETONIJA,,"
Državljani Srbije, kao i sva lica koja dolaze iz Srbije ili tranzitiraju kroz Srbiju, u obavezi su na samoizolaciju u trajanju od 14 dana po ulasku u Letoniju. Ne dozvoljava se ulazak stranim državljanima koji su prethodnih 14 dana boravili ili tranzitirali u zemljama pogođenim zaraznom bolešću COVID-19, u kojima je broj obolelih 25, ili veći, na 100.000 stanovnika. Sva lica su u obavezi da najranije 48 sati pre prelaska letonske granice ispune elektronski upitnik na veb sajtu <a href=""http://www.covidpass.lv"">www.covidpass.lv</a>.

",05.01.2021.
LIBAN,✅🧪,"
Državljani Srbije mogu ući u Liban. Neophodni su negativan PCR test, ne stariji od 96 sati, polisa međunarodnog zdravstvenog osiguranja koje pokriva COVID-19 lečenje, kao i registracija na stranici 
<a href=""https://survey123.arcgis.com/share/988ba32e1b634902ba3b14c3e4f1614d"">https://survey123.arcgis.com/share/988ba32e1b634902ba3b14c3e4f1614d</a> pre poletanja za Liban. Po dolasku u Liban, svaki putnik odlučuje da li će u roku od 72 sata da uradi novi PCR test ili će prihvatiti da bude u kućnom ili hotelskom karantinu 10 dana.
Putnici iz Sirije, Turske i afričkih zemalja dolaskom na aerodrom se podvrgavaju PCR testu i provode u kućnom karantinu 48 sati do dobijanja rezultata.

",05.01.2021.
LIBERIJA,✅🧪,"
Državljani Srbije mogu da uđu u Liberiju. Poželjno je imati negativan PCR test, ne stariji od od 72 sata. Lica koja doputuju bez testa podvrgavaju se tzv. brzom testu na aerodromu. Ukoliko je rezultat testa negativan, omogućava se ulazak u zemlju. Lica sa pozitivnim rezultatom testa se pregledaju i upućuju u karantin koji traje mimimum 14 dana u okviru ustanove koju određuje državna zdravstvena institucija.

",05.01.2021.
LIBIJA,❌,"
Državljani Srbije ne mogu da uđu u zemlju. Granice i aerodromi su zatvoreni.

",05.01.2021.
LUKSEMBURG,✅🧪,"
Državljani Srbije mogu da uđu u zemlju isključivo ukoliko imaju regulisan dugoročni boravak u Luksemburgu. Izuzeci se odnose na zdravstvene radnike, granične radnike, istraživače, lica koja se bave negom starijih lica, lica zaposlena u sektoru saobraćaja, lica koja putuju iz hitnih i opravdanih porodičnih razloga, lica koja putuju za potrebe studija i visokokvalifikovane radnike ako je njihovo zapošljavanje ekonomski neophodno i njihov rad se ne može odložiti ili obavljati iz inostranstva. Takođe, od ograničenja je izuzet i kraći boravak državljana trećih zemalja koji su članovi porodice rezidenata u Luksemburgu – supružnici ili registrovani partneri i deca mlađa od 18 godina. Ove osobe treba da podnesu zahtev Odeljenju za pasoše, vize i zakonodavstvo, kako bi dobili odgovarajući sertifikat za putovanje. Zahtev se podnosi putem elektronske pošte na service.
 Ova adresa el. pošte zaštićena je od spam napada, treba omogućiti JavaSkript da biste je videli
 .
Sva lica starija od 11 godina koja žele da putuju avionom do Luksemburga moraju prilikom ukrcavanja posedovati negativan PCR test, urađen manje od 48 sati pre leta.
Tranzit je dozvoljen i nije potrebno posedovanje negativnog PCR testa.

",05.01.2021.
LITVANIJA,❌,"
Državljani Srbije ne mogu da uđu i borave na teritoriju Litvanije, osim lica koja imaju regulisan boravak. Tranzit preko teritorije Litvanije je dozvoljen državljanima Srbije koji poseduju regulisan boravak u nekoj od zemalja EU, Švajcarske Konfederacije i Ujedinjenog Kraljevstva.
Ulazak državljana trećih zemalja u Litvaniju zavisi od broja obolelih na 100 hiljada stanovnika. Ulazak stranaca koji dolaze iz zemalja gde je više od 25 zaraženih na 100 hiljada stanovnika je ograničen na izuzetne slučajeve i ove osobe su po ulasku na teritoriju Litvanije u obavezi da budu u izolaciji 14 dana. Srbija se nalazi na listi 58 zemalja kojima je trenutno ograničen slobodan ulazak u Litvaniju.

",05.01.2021.
LIHTENŠTAJN,❌,"
Državljani Srbije ne mogu da uđu u Lihtenštajn, osim lica koja imaju regulisan boravak. Od 20. avgusta ne postoji obaveza desetodnevnog karantina za državljane Srbije sa regulisanim boravkom u Lihtenštajnu.
Tranzit državljana Srbije kroz Lihtenštajn je dozvoljen samo ukoliko poseduju dokaz o nameri i mogućnosti ulaska u drugu zemlju.
Državljani Srbije koji borave u nekoj od šengenskih zemalja mogu da uđu u Lihtenštajn.
Neophodno je prethodno proveriti da li se zemlja ili područje iz koje se dolazi nalazi na spisku zemalja i regiona sa povećanim stepenom zaraze od korona virusa, odnosno da li zbog toga postoji ograničenje u pogledu ulaska u Lihtenštajn.

",05.01.2021.
MADAGASKAR,❌,"
Državljani ne mogu ulaziti na Madagaskar. Ista zabrana, u uslovima zatvorenih aerodroma i luka, važi za sve strane državljane.

",05.01.2021.
